Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Likeit?
7hPQLu2BTFqHSp4N9q7zRJ,"3uKUYOnOlOpYj7quHnLtFv,4lWJityOQkWcLFiboQBvBq",Loves Me Not,Loves Me Not,"Kate Grahn,Will Jay",2014-06-24,203076,32,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-19T11:13:19Z,la pop,0.415,0.16,8,-12.227,1,0.0373,0.953,0,0.316,0.272,96.476,3,yes
20JlaQj9irFjFb8X0SKKS7,0rZRTXEmmPmx6gt92tBqIc,Before It Sinks In,Malaya,Moira Dela Torre,2018-02-19,263720,67,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-19T10:56:42Z,opm,0.542,0.392,1,-8.135,1,0.0355,0.605,0,0.0798,0.185,140.006,4,yes
5zCunX8URvLoBHlg1Fnjv6,0MeLMJJcouYXCymQSHPn8g,Already Gone,"Covers, Vol. 2",Sleeping At Last,2016-11-04,243007,70,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-09-30T07:53:09Z,"ambient worship,chamber pop,pop",0.418,0.248,3,-9.997,1,0.0451,0.954,0.00000421,0.108,0.298,130.953,4,yes
4K0M12PIWJjA4H0NAP142y,4AK6F7OLvEQ5QYCBNiQWHq,Taken,Up All Night,One Direction,2012-05-25,237706,60,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-18T18:47:47Z,"boy band,pop,post-teen pop,talent show",0.507,0.868,2,-5.204,1,0.0305,0.00387,0,0.413,0.684,95.035,4,yes
21dpBHPTV7ythCHBI6Slcw,2WzaAvm2bBCf4pEhyuDgCY,If By Chance,Safe Haven,Ruth B.,2017-05-05,303653,71,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-09-30T07:53:12Z,"alt z,canadian contemporary r&b,canadian pop,pop",0.405,0.279,10,-8.099,1,0.0334,0.881,0,0.0933,0.256,119.85,4,yes
0BwjF3LsHvVodFgrhywQJJ,6U53xCCVXmyimAgsBjCS8P,My Moon,"Do You Love Me, or Are You Just Lonely?",Jess Benko,2019-07-19,295008,48,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-18T18:46:36Z,gen z singer-songwriter,0.682,0.0907,0,-16.591,1,0.0402,0.987,0.0106,0.0681,0.215,117.876,4,yes
1650yatyByhD11nXbD8ktd,0MeLMJJcouYXCymQSHPn8g,Total Eclipse of the Heart,"Covers, Vol. 1",Sleeping At Last,2014-05-16,244824,50,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-16T18:53:45Z,"ambient worship,chamber pop,pop",0.45,0.257,4,-9.449,1,0.0533,0.952,0,0.159,0.366,100.24,1,yes
1T7AiFL9ruKKwlONN35Vh0,7n2wHs1TKAczGzO7Dd2rGr,A Little Too Much,Handwritten,Shawn Mendes,2015-04-14,187026,63,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-09-30T07:53:13Z,"canadian pop,pop,viral pop",0.451,0.507,11,-6.24,1,0.0316,0.473,0,0.108,0.564,165.76,4,yes
0Di5p4ItolIUZB8c2P0pvs,"6S2OmqARrzebs0tKUEyXyp,7gbmX8SsfjEjxDMzBi1ZOL",Wouldn't Change a Thing - From Camp Rock 2: The Final Jam,Camp Rock 2: The Final Jam,"Demi Lovato,Joe Jonas",2010-01-01,203840,60,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-16T12:40:18Z,"dance pop,pop,post-teen pop,uk pop",0.359,0.883,1,-3.535,1,0.0907,0.0753,0,0.112,0.481,171.725,4,yes
36seMHoyXmLUNxcwzwjdF7,2G8UkPZnQ8i78L8TfqP1X6,Please Notice,Hope,Christian Leave,2016-07-01,116666,73,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T10:24:49Z,"indie pop,modern rock,pop",0.55,0.271,2,-8.451,1,0.0297,0.843,0.00000321,0.107,0.198,111.344,4,yes
